--------------------------------------------------
Date: 2025.04.01 12:53:46

--- Large Blocks
00007fb04fa32000 .. 00007fb04fc3203f   size 0000000000200040 : xalloc.c 1616 
00007fb05020aa98 .. 00007fb05020ab9f   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007fb05020ac88 .. 00007fb05020ad57   size 00000000000000d0 : prolang.y 14059 : ? (destructed) , secure/login.c 682
00007fb05020ad58 .. 00007fb05020ae67   size 0000000000000110 : prolang.y 14059 : ?
00007fb05020afa0 .. 00007fb05020b64f   size 00000000000006b0 : prolang.y 22751 : ?
00007fb05020b650 .. 00007fb05020b757   size 0000000000000108 : object.c 385 : ?
00007fb05020b758 .. 00007fb05020b977   size 0000000000000220 : prolang.y 22982 : secure/master , secure/master.c 229
00007fb05020b978 .. 00007fb05020baa7   size 0000000000000130 : prolang.y 14059 : secure/master , secure/master.c 166
00007fb05020baa8 .. 00007fb05020bb77   size 00000000000000d0 : prolang.y 14059 : ?
00007fb05020bb78 .. 00007fb05020bc7f   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007fb05020bd48 .. 00007fb05020be4f   size 0000000000000108 : object.c 385 : secure/master , secure/master.c 72
00007fb05020be50 .. 00007fb050210397   size 0000000000004548 : partial slab 00007fb05020be68 (72/128 bytes)
00007fb050210398 .. 00007fb050210527   size 0000000000000190 : interpret.c::allocate_uninit_array 17900 : lib/language/language , lib/language/language.c 26
00007fb050210528 .. 00007fb050213907   size 00000000000033e0 : partial slab 00007fb050210540 (48/104 bytes)
00007fb050213908 .. 00007fb05021833f   size 0000000000004a38 : partial slab 00007fb050213920 (56/112 bytes)
00007fb050218340 .. 00007fb05021c887   size 0000000000004548 : partial slab 00007fb050218358 (72/128 bytes)
00007fb05021c888 .. 00007fb05022c6af P size 000000000000fe28 : lex.c 7675 : ?
00007fb05022c6b0 .. 00007fb05023c4d7 P size 000000000000fe28 : lex.c 7677 : ?
00007fb05023c4d8 .. 00007fb050240a1f   size 0000000000004548 : free slab 00007fb05023c4f0 (72/128 bytes)
00007fb050240a20 .. 00007fb0502412ff   size 00000000000008e0 : object.c 392 : ? (destructed) , secure/login.c 682
00007fb050241300 .. 00007fb05024143f   size 0000000000000140 : object.c 392 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007fb050241440 .. 00007fb050241547   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007fb050241548 .. 00007fb050241697   size 0000000000000150 : object.c 392 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007fb050241698 .. 00007fb050241787   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : d/Standard/race/human_std#1 , std/container.c 88
00007fb050241788 .. 00007fb050241887   size 0000000000000100 : prolang.y 14059 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007fb050241888 .. 00007fb05024198f   size 0000000000000108 : object.c 385 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007fb050241a60 .. 00007fb050243817   size 0000000000001db8 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007fb050243818 .. 00007fb050243c47   size 0000000000000430 : prolang.y 22982 : d/Standard/race/human_std#1 , std/player_sec.c 783
00007fb050244898 .. 00007fb050244997   size 0000000000000100 : prolang.y 22982 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007fb050244a60 .. 00007fb050247e3f   size 00000000000033e0 : partial slab 00007fb050244a78 (48/104 bytes)
00007fb050247e40 .. 00007fb05024c387   size 0000000000004548 : partial slab 00007fb050247e58 (72/128 bytes)
00007fb05024c388 .. 00007fb05024cc67   size 00000000000008e0 : object.c 392 : ? (destructed) , secure/login.c 682
00007fb05024cc68 .. 00007fb05024d277   size 0000000000000610 : prolang.y 22751 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007fb05024d278 .. 00007fb05024d3c7   size 0000000000000150 : object.c 392 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007fb05024d3c8 .. 00007fb05024db1f   size 0000000000000758 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007fb05024db20 .. 00007fb05024e277   size 0000000000000758 : prolang.y 22751 : d/Standard/race/human_std#1 , std/living.c (/std/living/combat.c) 67
00007fb05024e408 .. 00007fb0502517e7   size 00000000000033e0 : partial slab 00007fb05024e420 (48/104 bytes)
00007fb0502517e8 .. 00007fb0502520c7   size 00000000000008e0 : object.c 392 : ? (destructed) , secure/login.c 682
00007fb0502520c8 .. 00007fb050252707   size 0000000000000640 : prolang.y 22751 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 292
00007fb050252708 .. 00007fb050252827   size 0000000000000120 : prolang.y 14059 : d/Standard/race/human_std#1 , std/living.c (/std/living/cmdhooks.c) 203
00007fb050252828 .. 00007fb050254bf7   size 00000000000023d0 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007fb050254bf8 .. 00007fb050254cff   size 0000000000000108 : object.c 385 : ? (destructed) , secure/login.c 682
00007fb050254df8 .. 00007fb05025849f   size 00000000000036a8 : full slab 00007fb050254e10 (40/96 bytes)
00007fb0502584a0 .. 00007fb05025a3bf   size 0000000000001f20 : prolang.y 22751 : ? (destructed) , secure/login.c 682
00007fb05025b440 .. 00007fb05025b5b7   size 0000000000000178 : prolang.y 22982 : secure/master , secure/master.c 3269
00007fb05025b5b8 .. 00007fb05025b6bf   size 0000000000000108 : object.c 385 : secure/master , secure/master.c 3269
00007fb05025b6c0 .. 00007fb05025b7af   size 00000000000000f0 : interpret.c::allocate_uninit_array 17900 : d/Standard/login/ghost_player , std/container.c 88
00007fb05025b7b0 .. 00007fb05025b87f   size 00000000000000d0 : lex.c 4945 : d/Standard/race/human_std#1 , std/living.c (/std/living/savevars.c) 1922
